Smiles,Dataset,Model,canonical smiles,molwt,qed,Tanimoto Score
CCCCCCCCCCCOCCOC[C@H](O)COC(=O)c1cnc2n[nH]c(C(=O)OCC)c2c1,a2a,molmim,CCCCCCCCCCCOCCOC[C@H](O)COC(=O)c1cnc2n[nH]c(C(=O)OCC)c2c1,507.294450652,0.19957422854948997,0.2111111111111111
CCCCCCCCCCCCCCCOCCOCCOCCS(=O)(=O)NCC,a2a,molmim,CCCCCCCCCCCCCCCOCCOCCOCCS(=O)(=O)NCC,451.333144668,0.19625205376730379,0.17142857142857143
CCCCCCCCCCCCCCCCCCCOC[C@@H](O)COc1cc(C(=O)O)cc([N+](=O)[O-])c1,a2a,molmim,CCCCCCCCCCCCCCCCCCCOC[C@@H](O)COc1cc(C(=O)O)cc([N+](=O)[O-])c1,523.3509029079999,0.07650661498182867,0.16853932584269662
CCCCCCCCCCCCCCCCCCCCNCCC1=CCNC1=O,a2a,molmim,CCCCCCCCCCCCCCCCCCCCNCCC1=CCNC1=O,406.39231421999995,0.18884193324294812,0.16666666666666666
O=C(CCc1ccc2cc[nH]c2c1)NCCCCCCCCCCCCCCCC#CCN1CCCC1,a2a,molmim,O=C(CCc1ccc2cc[nH]c2c1)NCCCCCCCCCCCCCCCC#CCN1CCCC1,505.403213252,0.15123623887691928,0.22018348623853212
CCCCCCCCCCCCCCCC(=O)NCCCNCCC1CC1,a2a,molmim,CCCCCCCCCCCCCCCC(=O)NCCCNCCC1CC1,380.376664156,0.22732412715197886,0.18333333333333332
CCCn1c(-c2ccc(OCC(=O)Nc3ccc(C(=O)Nc4ccc(OCC)cc4)cc3)cc2)n[nH]c1=O,a2a,molmim,CCCn1c(-c2ccc(OCC(=O)Nc3ccc(C(=O)Nc4ccc(OCC)cc4)cc3)cc2)n[nH]c1=O,515.216869028,0.2730786042269203,0.5333333333333333
CCCn1c(=O)[nH]c2cc(C(=O)OCC(=O)Nc3ccc(-c4ccc(C)cc4)cc3)ccc21,a2a,molmim,CCCn1c(=O)[nH]c2cc(C(=O)OCC(=O)Nc3ccc(-c4ccc(C)cc4)cc3)ccc21,443.18450628000005,0.41112654848198926,0.4473684210526316
Cc1ccc(-c2nc3ccc(C(=O)OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3[nH]c2=O)cc1C,a2a,molmim,Cc1ccc(-c2nc3ccc(C(=O)OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3[nH]c2=O)cc1C,503.18450628000005,0.2908920729506301,0.3411764705882353
CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(NC(=O)c4ccc(C(C)=O)cc4)cc3)nc2c1=O,a2a,molmim,CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(NC(=O)c4ccc(C(C)=O)cc4)cc3)nc2c1=O,445.175004216,0.37578579153975006,0.41975308641975306
CCCCn1c(=O)nc(-c2ccc(C(=O)OCc3ccc(C(=O)N(C)c4ccccc4)cc3)cc2)[nH]c1=O,a2a,molmim,CCCCn1c(=O)nc(-c2ccc(C(=O)OCc3ccc(C(=O)N(C)c4ccccc4)cc3)cc2)[nH]c1=O,512.205969996,0.33879585897795395,0.31521739130434784
CC(=O)Nc1ccc(-n2c(=O)cc(COc3ccc(C(=O)Nc4ccc(Cl)cc4)cc3)n(C)c2=O)cc1,a2a,molmim,CC(=O)Nc1ccc(-n2c(=O)cc(COc3ccc(C(=O)Nc4ccc(Cl)cc4)cc3)n(C)c2=O)cc1,518.135697516,0.3842267183570401,0.345679012345679
CCCc1nn(C)c2[nH]c(=O)n(-c3ccc(CC(=O)Oc4ccc(NS(=O)(=O)c5ccccc5)cc4)cc3)c(=O)c12,a2a,molmim,CCCc1nn(C)c2[nH]c(=O)n(-c3ccc(CC(=O)Oc4ccc(NS(=O)(=O)c5ccccc5)cc4)cc3)c(=O)c12,573.1682045839999,0.20326031094612915,0.2524271844660194
CCCc1nc2ccccc2c(=O)n1-c1ccc(C(=O)NCc2ccc(NC(=O)OCc3ccccc3)cc2)cc1,a2a,molmim,CCCc1nc2ccccc2c(=O)n1-c1ccc(C(=O)NCc2ccc(NC(=O)OCc3ccccc3)cc2)cc1,546.22670544,0.23551808831000762,0.2978723404255319
CCCc1nc(-c2ccc(COC(=O)[C@@H](C)NC(=O)c3ccccc3)cc2)sc1C,a2a,molmim,CCCc1nc(-c2ccc(COC(=O)[C@@H](C)NC(=O)c3ccccc3)cc2)sc1C,422.16641369200005,0.5226250136291696,0.28169014084507044
Cn1c(-c2ccc(OCC(=O)Nc3ccc(F)cc3)cc2)cc(=O)n(C2CCCC2)c1=O,a2a,molmim,Cn1c(-c2ccc(OCC(=O)Nc3ccc(F)cc3)cc2)cc(=O)n(C2CCCC2)c1=O,437.17508446799997,0.6401448657219336,0.4675324675324675
O=c1[nH]c2cc(-c3ccc(OCc4cccnc4)c(F)c3)ccc2n(CC2CC2)c1=O,a2a,molmim,O=c1[nH]c2cc(-c3ccc(OCc4cccnc4)c(F)c3)ccc2n(CC2CC2)c1=O,417.14886972,0.4832342780032878,0.313953488372093
CCOC(=O)c1c(C2CC2)[nH]c2ncn(Cc3ccc(OCC(=O)NC)cc3)c(=O)c12,a2a,molmim,CCOC(=O)c1c(C2CC2)[nH]c2ncn(Cc3ccc(OCC(=O)NC)cc3)c(=O)c12,424.17466986799997,0.5342949131125712,0.3068181818181818
NCc1ccccc1COc1ccc(-c2ccc3c(=O)n(C4CC4)c(=O)[nH]c3n2)cc1,a2a,molmim,NCc1ccccc1COc1ccc(-c2ccc3c(=O)n(C4CC4)c(=O)[nH]c3n2)cc1,414.169190564,0.5045896791467738,0.2823529411764706
O=C(O)C1CCC2(CC1)NC(=O)N(Cc1ccc(OCc3ccccc3)cc1)C2=O,a2a,molmim,O=C(O)C1CCC2(CC1)NC(=O)N(Cc1ccc(OCc3ccccc3)cc1)C2=O,408.16852186799997,0.7150499666753052,0.30120481927710846
COc1ccc(CNC(=O)c2ccc3c(c2)n(C2CC2)c(=O)n3C2CC2)cc1-c1ccccc1,a2a,molmim,COc1ccc(CNC(=O)c2ccc3c(c2)n(C2CC2)c(=O)n3C2CC2)cc1-c1ccccc1,453.205241724,0.4244975577016553,0.26262626262626265
O=C(NCc1ccc(-n2cnc3ccccc32)cc1)c1cc(=O)n(C2CCCC2)c(=O)[nH]1,a2a,molmim,O=C(NCc1ccc(-n2cnc3ccccc32)cc1)c1cc(=O)n(C2CCCC2)c(=O)[nH]1,429.180089596,0.5092417791308921,0.2375
O=C(Oc1ccc(-c2ccc3[nH]ccc3c2)cc1)c1cnc2c(ccc(=O)n2C2CC2)c1,a2a,molmim,O=C(Oc1ccc(-c2ccc3[nH]ccc3c2)cc1)c1cnc2c(ccc(=O)n2C2CC2)c1,421.142641468,0.3235654770663188,0.2111111111111111
Cc1ccn2c(=O)cc(-c3ccc(C(=O)O)cc3)nc2c1C1CC1,a2a,molmim,Cc1ccn2c(=O)cc(-c3ccc(C(=O)O)cc3)nc2c1C1CC1,320.116092372,0.8039016542169299,0.24242424242424243
C[C@H](CN(C)C(=O)C[C@@H]1C(=O)N(CC(F)(F)F)C(=O)N1C1CCC1)N(C)Cc1ccccc1,a2a,molmim,C[C@H](CN(C)C(=O)C[C@@H]1C(=O)N(CC(F)(F)F)C(=O)N1C1CCC1)N(C)Cc1ccccc1,468.23482551200004,0.5228097329352162,0.18888888888888888
Cc1ccc2c(c1)c(NCCc1ccccc1)nc1ccccc12,a2a,molmim,Cc1ccc2c(c1)c(NCCc1ccccc1)nc1ccccc12,312.16264864,0.5137004721772193,0.5098039215686274
c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,a2a,molmim,c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,325.15789760800004,0.5638884284622365,0.4897959183673469
c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,a2a,molmim,c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,325.15789760800004,0.5638884284622365,0.4897959183673469
c1ccc(CCNc2nc(-c3ccccc3)c3ccccc3n2)cc1,a2a,molmim,c1ccc(CCNc2nc(-c3ccccc3)c3ccccc3n2)cc1,325.15789760800004,0.5638884284622365,0.43137254901960786
c1ccc(CCNc2nc3ccccc3n3c(-c4ccccc4)cnc23)cc1,a2a,molmim,c1ccc(CCNc2nc3ccccc3n3c(-c4ccccc4)cnc23)cc1,364.16879664000004,0.46575163038087475,0.41379310344827586
c1ccc(CCNc2ncnc3oc(-c4ccccc4)cc23)cc1,a2a,molmim,c1ccc(CCNc2ncnc3oc(-c4ccccc4)cc23)cc1,315.137162164,0.5870340658682545,0.3389830508474576
CC(C)CCCNc1c2ccccc2nc2nc(-c3ccccc3)nn12,a2a,molmim,CC(C)CCCNc1c2ccccc2nc2nc(-c3ccccc3)nn12,345.1953457360001,0.5103965175598574,0.3387096774193548
O=C(CCn1cccc1)Nc1nc2cc(-c3ccccc3)ccc2nc1NCCCc1ccccc1,a2a,molmim,O=C(CCn1cccc1)Nc1nc2cc(-c3ccccc3)ccc2nc1NCCCc1ccccc1,475.23721054800006,0.23695165905945548,0.2916666666666667
Cc1ccn(CCNc2cc(-c3ccccc3)nc3ccccc23)n1,a2a,molmim,Cc1ccn(CCNc2cc(-c3ccccc3)nc3ccccc23)n1,328.16879664000004,0.5855994725840452,0.2903225806451613
CN1CCN(c2nc(-c3ccccc3)nc3ccccc23)CCc2ccccc21,a2a,molmim,CN1CCN(c2nc(-c3ccccc3)nc3ccccc23)CCc2ccccc21,380.200096768,0.5001936900425519,0.24242424242424243
Cc1c(/C=N/N=C/c2ccc(Br)cc2)sc(=S)n1CCc1ccccc1,a2a,molmim,Cc1c(/C=N/N=C/c2ccc(Br)cc2)sc(=S)n1CCc1ccccc1,443.01255167600004,0.25877941549825695,0.559322033898305
N#Cc1c(N/C=C/c2ccc(Br)cc2)sc(=S)n1CCc1ccccc1,a2a,molmim,N#Cc1c(N/C=C/c2ccc(Br)cc2)sc(=S)n1CCc1ccccc1,440.99690161200004,0.4597501048922385,0.5573770491803278
N#Cc1ccc(/N=C/c2c(Br)sc(=S)n(CCc3ccccc3)c2=O)cc1,a2a,molmim,N#Cc1ccc(/N=C/c2c(Br)sc(=S)n(CCc3ccccc3)c2=O)cc1,454.976166168,0.3885052830708234,0.49230769230769234
Cc1sc(=S)n(/N=C\c2cccc(Br)c2)c1C#N,a2a,molmim,Cc1sc(=S)n(/N=C\c2cccc(Br)c2)c1C#N,336.93430135600005,0.6108912798523627,0.3387096774193548
N#CC(C#N)=C1SC2=C(CCSC2)N1/N=C/c1ccc(Br)cc1,a2a,molmim,N#CC(C#N)=C1SC2=C(CCSC2)N1/N=C/c1ccc(Br)cc1,401.960850452,0.5397794246889812,0.3
Cc1cs/c(=N\C(=O)Cc2ccc(Br)cc2)n1Cc1ccccc1,a2a,molmim,Cc1cs/c(=N\C(=O)Cc2ccc(Br)cc2)n1Cc1ccccc1,400.02449626400005,0.6406321465856136,0.2898550724637681
Cn1c(=O)c(C=NNC(=O)c2ccc(Br)cc2)c(N)n(Cc2ccccc2)c1=O,a2a,molmim,Cn1c(=O)c(C=NNC(=O)c2ccc(Br)cc2)c(N)n(Cc2ccccc2)c1=O,455.059301536,0.4498267322588255,0.2564102564102564
N#Cc1c(N)n(Cc2ccccc2)n(CN2CC[C@@]3(CCOC3)C2)c1=S,a2a,molmim,N#Cc1c(N)n(Cc2ccccc2)n(CN2CC[C@@]3(CCOC3)C2)c1=S,369.1623313559999,0.838930134613687,0.21621621621621623
N#CC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1,a2a,molmim,N#CC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1,303.081477128,0.6101975540501222,0.32608695652173914
Clc1ccccc1CN(c1ccccc1)c1ncccn1,a2a,molmim,Clc1ccccc1CN(c1ccccc1)c1ncccn1,295.087625128,0.71097205431768,0.24489795918367346
Clc1ccccc1C1(c2ccccc2)CC(c2ccccc2)(c2ncccn2)C1,a2a,molmim,Clc1ccccc1C1(c2ccccc2)CC(c2ccccc2)(c2ncccn2)C1,396.13932635200007,0.41029686992120856,0.23529411764705882
CC(C(=O)Cl)(c1ccccc1)c1cccnn1,a2a,molmim,CC(C(=O)Cl)(c1ccccc1)c1cccnn1,246.055990652,0.7820295623903076,0.23529411764705882
Clc1ccccc1C(c1ccccc1)c1nc(-c2ccccc2)no1,a2a,molmim,Clc1ccccc1C(c1ccccc1)c1nc(-c2ccccc2)no1,346.08729078000005,0.4845596606656623,0.23529411764705882
Clc1cncnc1OC(c1ccccc1)c1ccccc1,a2a,molmim,Clc1cncnc1OC(c1ccccc1)c1ccccc1,296.07164071600005,0.7198411605293131,0.21568627450980393
Clc1ncc(Cl)c(OC(c2ccccc2)c2ccccc2)n1,a2a,molmim,Clc1ncc(Cl)c(OC(c2ccccc2)c2ccccc2)n1,330.032668364,0.6344734858965547,0.1935483870967742
Oc1cc(Cl)nc(C(c2ccccc2)c2ccccc2)n1,a2a,molmim,Oc1cc(Cl)nc(C(c2ccccc2)c2ccccc2)n1,296.07164071600005,0.7426808608884758,0.22033898305084745
Clc1ccccc1C(c1ccccc1)c1noc(C2(c3ccccc3)COC2)n1,a2a,molmim,Clc1ccccc1C(c1ccccc1)c1noc(C2(c3ccccc3)COC2)n1,402.113505528,0.4588901676918006,0.1791044776119403
N#CC(c1ccc(Cl)cc1)c1ccccn1,a2a,molmim,N#CC(c1ccc(Cl)cc1)c1ccccn1,228.045425968,0.7901364589533905,0.2777777777777778
CCCC(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,molmim,CCCC(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,342.148061196,0.7441658498305214,1.0
CCCC(=O)Nc1nc(-c2ccccc2)nc(C)c1C#N,a2a,molmim,CCCC(=O)Nc1nc(-c2ccccc2)nc(C)c1C#N,280.132411132,0.9330776890587597,0.782608695652174
CCCC(=O)Nc1c(C#N)c(-c2ccccc2)nc(=O)n1-c1ccccc1,a2a,molmim,CCCC(=O)Nc1c(C#N)c(-c2ccccc2)nc(=O)n1-c1ccccc1,358.142975816,0.7558546326889115,0.5818181818181818
CCCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,a2a,molmim,CCCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,317.152812228,0.7508436828875631,0.7560975609756098
CCCNC(=O)CNc1ncnc(-c2ccccc2)c1C#N,a2a,molmim,CCCNC(=O)CNc1ncnc(-c2ccccc2)c1C#N,295.14331016400007,0.849713163558278,0.4827586206896552
CCCC(=O)NNc1ncc(-c2ccccc2)cc1-c1ccccc1,a2a,molmim,CCCC(=O)NNc1ncc(-c2ccccc2)cc1-c1ccccc1,331.168462292,0.6460177274104733,0.3793103448275862
CCC[C@H](C)C(=O)NNc1cc(-c2ccccc2)nc(-c2ccccc2)n1,a2a,molmim,CCC[C@H](C)C(=O)NNc1cc(-c2ccccc2)nc(-c2ccccc2)n1,360.195011388,0.5999459274635421,0.5918367346938775
CCc1cc(Nc2cccc(-c3ccccc3)c2C#N)ncn1,a2a,molmim,CCc1cc(Nc2cccc(-c3ccccc3)c2C#N)ncn1,300.13749651200004,0.7790688278737674,0.30158730158730157
CCC(CC)NC(=O)c1nn(-c2ccccc2)c(C#N)c1C,a2a,molmim,CCC(CC)NC(=O)c1nn(-c2ccccc2)c(C#N)c1C,296.16371126,0.9217135506561837,0.3225806451612903
N#Cc1c(/C=N/c2ccccc2)n(-c2ccccc2)c(=S)n(-c2ccc(Cl)cc2)c1=O,a2a,molmim,N#Cc1c(/C=N/c2ccccc2)n(-c2ccccc2)c(=S)n(-c2ccc(Cl)cc2)c1=O,442.06550978,0.30352777030414846,0.43333333333333335
N#Cc1c(S)s/c(=N\Cc2ccc(Cl)cc2)n(-c2ccccc2)c1=O,a2a,molmim,N#Cc1c(S)s/c(=N\Cc2ccc(Cl)cc2)n(-c2ccccc2)c1=O,385.011031684,0.6966858141565421,0.359375
N#CN=C1C(=Cc2ccc(Cl)cc2)SC(=S)N1c1ccc(Cl)cc1,a2a,molmim,N#CN=C1C(=Cc2ccc(Cl)cc2)SC(=S)N1c1ccc(Cl)cc1,388.96149464800004,0.48340856689490874,0.3389830508474576
C/C(=C\c1ccc(Cl)cc1)N=c1sccn1-c1ccccc1,a2a,molmim,C/C(=C\c1ccc(Cl)cc1)N=c1sccn1-c1ccccc1,326.06444716000004,0.6327454773734487,0.2903225806451613
Cc1sc(Cl)nc1C(=O)N/N=C/c1ccc(C#N)cc1,a2a,molmim,Cc1sc(Cl)nc1C(=O)N/N=C/c1ccc(C#N)cc1,304.0185595880001,0.6992735906197113,0.2535211267605634
CCn1c(N/C=C/c2ccc(O)cc2)c(-c2ccccc2)sc1=S,a2a,molmim,CCn1c(N/C=C/c2ccc(O)cc2)c(-c2ccccc2)sc1=S,354.086055196,0.5724957607903257,0.2638888888888889
N#Cc1ccc(/C=C/Nc2c(-c3ccccc3)ccnc2Cl)cc1,a2a,molmim,N#Cc1ccc(/C=C/Nc2c(-c3ccccc3)ccnc2Cl)cc1,331.087625128,0.6548506832710009,0.25
Cn1c(=O)c(C#N)c(NC(=O)/C=C/c2cccc(Cl)c2)c2ccccc21,a2a,molmim,Cn1c(=O)c(C#N)c(NC(=O)/C=C/c2cccc(Cl)c2)c2ccccc21,363.077454368,0.7205233829908707,0.2676056338028169
Cc1ccc(S/C=C/C(=O)Nc2ccccc2-c2nn(C)c(=S)s2)cc1,a2a,molmim,Cc1ccc(S/C=C/C(=O)Nc2ccccc2-c2nn(C)c(=S)s2)cc1,399.05337516400004,0.35292511841117685,0.2375
COCCCn1c(=O)c(-c2ccc[nH]2)nc2cc(OCC(=O)Nc3ccc(C(=O)NC(C)(C)C)cc3)ccc21,a2a,molmim,COCCCn1c(=O)c(-c2ccc[nH]2)nc2cc(OCC(=O)Nc3ccc(C(=O)NC(C)(C)C)cc3)ccc21,531.248169156,0.26583069546824106,0.3723404255319149
CCCCn1c(C)c(C)n(-c2ccc(NC(=O)Nc3ccc(C(C)(C)C)cc3)cc2)c1=O,a2a,molmim,CCCCn1c(C)c(C)n(-c2ccc(NC(=O)Nc3ccc(C(C)(C)C)cc3)cc2)c1=O,434.268176328,0.49970672633287355,0.34210526315789475
CCCCn1c(=O)[nH]c2cc(OCC(=O)NCc3ccc(C(C)C)cc3)ccc2c1=O,a2a,molmim,CCCCn1c(=O)[nH]c2cc(OCC(=O)NCc3ccc(C(C)C)cc3)ccc2c1=O,423.215806408,0.5522078572648587,0.3411764705882353
CCCCn1c(=O)c2c(=O)[nH]c(COC(=O)c3ccc(OC(C)(C)C)cc3)nc2n(CCCC)c1=O,a2a,molmim,CCCCn1c(=O)c2c(=O)[nH]c(COC(=O)c3ccc(OC(C)(C)C)cc3)nc2n(CCCC)c1=O,498.247834808,0.42483258490557696,0.30337078651685395
CCC(C)(C)c1c[nH]c2ncn(-c3ccc(CN(C)[C@H](C)C(=O)Nc4ccc(C(C)C)cc4)cc3)c(=O)c12,a2a,molmim,CCC(C)(C)c1c[nH]c2ncn(-c3ccc(CN(C)[C@H](C)C(=O)Nc4ccc(C(C)C)cc4)cc3)c(=O)c12,513.310375488,0.28824628269154734,0.2376237623762376
CCCCn1c(=O)c2ccccc2n(-c2ccc(C(=O)O[C@@H](C)C(=O)N(CC)CC)cc2)c1=O,a2a,molmim,CCCCn1c(=O)c2ccccc2n(-c2ccc(C(=O)O[C@@H](C)C(=O)N(CC)CC)cc2)c1=O,465.22637109199997,0.4521370382766532,0.24444444444444444
CN(C[C@@H](O)CNC(=O)C(C)(C)C)C(=O)c1ccc2c(c1)[nH]c(=O)n2C,a2a,molmim,CN(C[C@@H](O)CNC(=O)C(C)(C)C)C(=O)c1ccc2c(c1)[nH]c(=O)n2C,362.19540531200005,0.7181479615869332,0.2159090909090909
CC(C)CCn1c(=O)n(CC(C)C)c2cc(-c3ccc(S(=O)(=O)N[C@H]4CCCC[C@H]4O)cc3)ccc21,a2a,molmim,CC(C)CCn1c(=O)n(CC(C)C)c2cc(-c3ccc(S(=O)(=O)N[C@H]4CCCC[C@H]4O)cc3)ccc21,513.2661277279999,0.43167443559017893,0.24731182795698925
CCC(CC)(CC)NC(=O)Nc1nnc(-c2ccccc2)cc1-c1ccccc1,a2a,molmim,CCC(CC)(CC)NC(=O)Nc1nnc(-c2ccccc2)cc1-c1ccccc1,388.226311516,0.5293041120990923,0.35714285714285715
CCCCC(=O)Nc1cc(-c2ccccc2)c2ccccc2n1,a2a,molmim,CCCCC(=O)Nc1cc(-c2ccccc2)c2ccccc2n1,304.15756326,0.7179454709816965,0.4074074074074074
CCN(CC)C(=O)c1nc2ccc(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)cc2[nH]1,a2a,molmim,CCN(CC)C(=O)c1nc2ccc(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)cc2[nH]1,463.20082504000004,0.3472485724169636,0.3142857142857143
CCCC(c1ccccc1)c1n[nH]c(-c2ccccc2)n1,a2a,molmim,CCCC(c1ccccc1)c1n[nH]c(-c2ccccc2)n1,277.15789760800004,0.7504746591507453,0.3018867924528302
CCCCNC(=O)c1nc(-c2ccccc2)nc2[nH]c(-c3ccccc3)cc12,a2a,molmim,CCCCNC(=O)c1nc(-c2ccccc2)nc2[nH]c(-c3ccccc3)cc12,370.179361324,0.4780102372561519,0.38596491228070173
CC(C)c1ccncc1-c1cc(-c2ccccc2)[nH]n1,a2a,molmim,CC(C)c1ccncc1-c1cc(-c2ccccc2)[nH]n1,263.142247544,0.7666440937244083,0.26785714285714285
Fc1ccc(-c2c[nH]c3nc(CCc4ccccc4)nc(-c4ccccc4)c23)cc1,a2a,molmim,Fc1ccc(-c2c[nH]c3nc(CCc4ccccc4)nc(-c4ccccc4)c23)cc1,393.16412586,0.38527047073796866,0.25
CCN(CC(F)F)c1nc(-c2ccccc2)c2ccccc2n1,a2a,molmim,CCN(CC(F)F)c1nc(-c2ccccc2)c2ccccc2n1,313.13905398400004,0.6993883652872085,0.26666666666666666
Fc1ccccc1-c1ncc2c(-c3ccccc3)c(-c3ccccc3)[nH]c2n1,a2a,molmim,Fc1ccccc1-c1ncc2c(-c3ccccc3)c(-c3ccccc3)[nH]c2n1,365.132825732,0.4197430735406907,0.24561403508771928
CCCCN1Cc2[nH]nc(-c3ccccc3)c2C1,a2a,molmim,CCCCN1Cc2[nH]nc(-c3ccccc3)c2C1,241.15789760799998,0.8910986538120306,0.2786885245901639
N#Cc1sc(=S)n(-c2ccccc2)c1N/C=C/c1ccc(Br)cc1,a2a,molmim,N#Cc1sc(=S)n(-c2ccccc2)c1N/C=C/c1ccc(Br)cc1,412.965601484,0.5337907524448002,0.5961538461538461
N#Cc1sc(=S)n(/N=C/c2ccc(Br)cc2)c1-c1ccccc1,a2a,molmim,N#Cc1sc(=S)n(/N=C/c2ccc(Br)cc2)c1-c1ccccc1,398.94995142,0.43263689708340475,0.5660377358490566
N#Cc1sn(-c2ccccc2)c(=O)c1/N=C/c1ccc(Br)cc1,a2a,molmim,N#Cc1sn(-c2ccccc2)c(=O)c1/N=C/c1ccc(Br)cc1,382.97279504,0.6330974624991896,0.5283018867924528
Cn1c(/N=C/c2ccc(Br)cc2)c(-c2ccccc2)sc1=S,a2a,molmim,Cn1c(/N=C/c2ccc(Br)cc2)c(-c2ccccc2)sc1=S,387.97035251600005,0.3969413296249547,0.5094339622641509
N#Cc1c(N/C=C\c2ccc(Br)cc2)nc(S)n(-c2ccccc2)c1=O,a2a,molmim,N#Cc1c(N/C=C\c2ccc(Br)cc2)nc(S)n(-c2ccccc2)c1=O,423.999344136,0.4848036461569015,0.3384615384615385
N#Cc1ccc(-c2nn(-c3ccccc3)c(=NC(=O)/C=C/c3ccc(Br)cc3)s2)o1,a2a,molmim,N#Cc1ccc(-c2nn(-c3ccccc3)c(=NC(=O)/C=C/c3ccc(Br)cc3)s2)o1,475.9942587560001,0.38884951882567886,0.3108108108108108
CSc1ccc(C=c2sc(=C(C#N)C#N)n(-c3ccc(Br)cc3)c2=O)cc1,a2a,molmim,CSc1ccc(C=c2sc(=C(C#N)C#N)n(-c3ccc(Br)cc3)c2=O)cc1,452.96051610399996,0.5692237824634957,0.29850746268656714
N#Cc1c(-c2cccs2)nc(S)n(N/C=C/c2ccc(Br)cc2)c1=S,a2a,molmim,N#Cc1c(-c2cccs2)nc(S)n(N/C=C/c2ccc(Br)cc2)c1=S,445.932921452,0.31610235880888227,0.273972602739726
N#Cc1ccc(NC(=S)Nc2c(-c3ccccc3)sc(=O)n2-c2ccccc2)cc1,a2a,molmim,N#Cc1ccc(NC(=S)Nc2c(-c3ccccc3)sc(=O)n2-c2ccccc2)cc1,428.07655313199996,0.4347831069981878,0.2608695652173913
O=[N+]([O-])c1ccc(/C=C/N=c2[nH]c(-c3ccccc3)nc3ccccc23)cc1,a2a,molmim,O=[N+]([O-])c1ccc(/C=C/N=c2[nH]c(-c3ccccc3)nc3ccccc23)cc1,368.127325752,0.4181044137970746,0.2542372881355932
