Smiles,Dataset,Model,canonical smiles,ring_systems,min_ring,min_freq,rare_ring
O=C(Nc1cccc(Cl)c1Cl)/C(=C/c1ccccn1)c1ccccc1,aryl,molmim,O=C(Nc1cccc(Cl)c1Cl)/C(=C/c1ccccn1)c1ccccc1,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=C(Nc1cccnc1Cl)c1cnn2cccnc12,aryl,molmim,O=C(Nc1cccnc1Cl)c1cnn2cccnc12,"[('c1cnc2ccnn2c1', 8107), ('c1ccncc1', 231698)]",c1cnc2ccnn2c1,8107,False
OCCNC(c1ccccc1Cl)c1ncccc1Cl,aryl,molmim,OCCNC(c1ccccc1Cl)c1ncccc1Cl,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=[N+]([O-])c1ccc(Cl)cc1N=Cc1ccccc1Cl,aryl,molmim,O=[N+]([O-])c1ccc(Cl)cc1N=Cc1ccccc1Cl,"[('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccccc1,2260082,False
N#Cc1cnccc1C(=O)NCC(Cl)Cl,aryl,molmim,N#Cc1cnccc1C(=O)NCC(Cl)Cl,"[('c1ccncc1', 231698)]",c1ccncc1,231698,False
O=C(NCc1cccc(Cl)c1)c1cccc(N([C@H]2CCNc3cccnc32)S(=O)(=O)c2cccnc2)c1,aryl,molmim,O=C(NCc1cccc(Cl)c1)c1cccc(N([C@H]2CCNc3cccnc32)S(=O)(=O)c2cccnc2)c1,"[('c1cnc2c(c1)NCCC2', 157), ('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cnc2c(c1)NCCC2,157,False
CN(c1cc(C(=O)NCc2cccc(Cl)c2)ccn1)[C@H]1CNCc2nc[nH]c2C1,aryl,molmim,CN(c1cc(C(=O)NCc2cccc(Cl)c2)ccn1)[C@H]1CNCc2nc[nH]c2C1,"[('c1nc2c([nH]1)CCCNC2', 0), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1nc2c([nH]1)CCCNC2,0,True
O=C(NCc1ccc(Cl)cc1)[C@@H](Cc1cccc(Cl)c1)Nc1ncc2c(n1)CCNC2,aryl,molmim,O=C(NCc1ccc(Cl)cc1)[C@@H](Cc1cccc(Cl)c1)Nc1ncc2c(n1)CCNC2,"[('c1ncc2c(n1)CCNC2', 1401), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CCNC2,1401,False
CN1CCC[C@@H](Nc2cc(C(=O)NCc3ccncc3)c(Br)cn2)C1,aryl,molmim,CN1CCC[C@@H](Nc2cc(C(=O)NCc3ccncc3)c(Br)cn2)C1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCNCC1,174309,False
CN1CCc2ncnc(Nc3ccc(Cl)c(C(=O)NCc4ccccc4)c3)c2C1,aryl,molmim,CN1CCc2ncnc(Nc3ccc(Cl)c(C(=O)NCc4ccccc4)c3)c2C1,"[('c1ncc2c(n1)CCNC2', 1401), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CCNC2,1401,False
CN1CCN(Cn2nc(C(=O)NCc3ccc(Cl)cc3)ccc2=O)Cc2ccccc21,aryl,molmim,CN1CCN(Cn2nc(C(=O)NCc3ccc(Cl)cc3)ccc2=O)Cc2ccccc21,"[('c1ccc2c(c1)CNCCN2', 356), ('O=c1cccn[nH]1', 5467), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNCCN2,356,False
O=C(CN(Cc1ccc2c(c1)CNCC2)c1ncccn1)Nc1cccc(Cl)c1,aryl,molmim,O=C(CN(Cc1ccc2c(c1)CNCC2)c1ncccn1)Nc1cccc(Cl)c1,"[('c1ccc2c(c1)CCNC2', 17250), ('c1cncnc1', 81465), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CCNC2,17250,False
CNC(=O)c1cc(Cl)cc(SCC(=O)N2CCN(C)CC2)c1,aryl,molmim,CNC(=O)c1cc(Cl)cc(SCC(=O)N2CCN(C)CC2)c1,"[('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
O=c1c(Cl)c2c(nn1Cc1ccc(CN3CCCC3)cc1)CCNC2,aryl,molmim,O=c1c(Cl)c2c(nn1Cc1ccc(CN3CCCC3)cc1)CCNC2,"[('O=c1cc2c(n[nH]1)CCNC2', 125), ('C1CCNC1', 112428), ('c1ccccc1', 2260082)]",O=c1cc2c(n[nH]1)CCNC2,125,False
CN1CCc2c(coc2C(=O)NCCN(C)C(=O)c2cc[n+]([O-])cc2)C1,aryl,molmim,CN1CCc2c(coc2C(=O)NCCN(C)C(=O)c2cc[n+]([O-])cc2)C1,"[('c1occ2c1CCNC2', 0), ('c1cc[nH+]cc1', 12265)]",c1occ2c1CCNC2,0,True
Cc1cc(Cl)ccc1C(=O)NCc1cnc(N2CCN(C(C)C)CC2)c(C)c1,aryl,molmim,Cc1cc(Cl)ccc1C(=O)NCc1cnc(N2CCN(C(C)C)CC2)c(C)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
Cc1ccc(C(=O)NCCNc2nc3ccc(Cl)cc3nc2NCCc2ccc(Cl)cc2)cc1,aryl,molmim,Cc1ccc(C(=O)NCCNc2nc3ccc(Cl)cc3nc2NCCc2ccc(Cl)cc2)cc1,"[('c1ccc2nccnc2c1', 8177), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccc2nccnc2c1,8177,False
O=C(CN1CCc2ccc(Cl)cc21)Nc1cccc(CNC(=O)c2cc(Cl)cc(Cl)c2)c1,aryl,molmim,O=C(CN1CCc2ccc(Cl)cc21)Nc1cccc(CNC(=O)c2cc(Cl)cc(Cl)c2)c1,"[('c1ccc2c(c1)CCN2', 7904), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CCN2,7904,False
O=C(Cc1ccc(Cl)cc1)Nc1ccc2c(c1)N(Cc1ccc(Cl)cc1)CCN2Cc1cccnc1,aryl,molmim,O=C(Cc1ccc(Cl)cc1)Nc1ccc2c(c1)N(Cc1ccc(Cl)cc1)CCN2Cc1cccnc1,"[('c1ccc2c(c1)NCCN2', 463), ('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccc2c(c1)NCCN2,463,False
CN(C)C(=O)Cc1ccnc(NCCc2ccc(Cl)cc2)n1,aryl,molmim,CN(C)C(=O)Cc1ccnc(NCCc2ccc(Cl)cc2)n1,"[('c1cncnc1', 81465), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
CC(=O)N1CCN(Cc2cc(NCCc3ccc(C(=O)O)cc3)ncn2)c2ccccc21,aryl,molmim,CC(=O)N1CCN(Cc2cc(NCCc3ccc(C(=O)O)cc3)ncn2)c2ccccc21,"[('c1ccc2c(c1)NCCN2', 463), ('c1cncnc1', 81465), ('c1ccccc1', 2260082)]",c1ccc2c(c1)NCCN2,463,False
CC(=O)N1CCN(Cc2ccc(Cl)cc2Cl)c2ccc(Cl)cc2C1,aryl,molmim,CC(=O)N1CCN(Cc2ccc(Cl)cc2Cl)c2ccc(Cl)cc2C1,"[('c1ccc2c(c1)CNCCN2', 356), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNCCN2,356,False
COC(=O)c1ccc(CNc2nc(Cl)cc3c2N(Cc2ccc(O)cc2)CCN(C)C3)c(O)c1,aryl,molmim,COC(=O)c1ccc(CNc2nc(Cl)cc3c2N(Cc2ccc(O)cc2)CCN(C)C3)c(O)c1,"[('c1cc2c(cn1)NCCNC2', 16), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cc2c(cn1)NCCNC2,16,True
Cc1cc(Br)ccc1CN(Cc1ccc(Cl)cc1)c1ncc2c(n1)CNCC2,aryl,molmim,Cc1cc(Br)ccc1CN(Cc1ccc(Cl)cc1)c1ncc2c(n1)CNCC2,"[('c1ncc2c(n1)CNCC2', 725), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CNCC2,725,False
Cc1ccc(Cc2noc(CNc3cc4c(cc3Cl)CCC(=O)N4)n2)cc1,aryl,molmim,Cc1ccc(Cc2noc(CNc3cc4c(cc3Cl)CCC(=O)N4)n2)cc1,"[('O=C1CCc2ccccc2N1', 2066), ('c1ncon1', 17228), ('c1ccccc1', 2260082)]",O=C1CCc2ccccc2N1,2066,False
O=C(NCc1ccc(NCc2ccc(Cl)cc2)nc1N1CCCCC1)c1ccncc1,aryl,molmim,O=C(NCc1ccc(NCc2ccc(Cl)cc2)nc1N1CCCCC1)c1ccncc1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
Cc1ncc(CNC(=O)Cc2cccc(Cl)c2)c(N2CCN(C)CC2)n1,aryl,molmim,Cc1ncc(CNC(=O)Cc2cccc(Cl)c2)c(N2CCN(C)CC2)n1,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
Cc1nc2c(nc1NCCNC(=O)c1cccc(Cl)c1C)CNCC2,aryl,molmim,Cc1nc2c(nc1NCCNC(=O)c1cccc(Cl)c1C)CNCC2,"[('c1cnc2c(n1)CCNC2', 289), ('c1ccccc1', 2260082)]",c1cnc2c(n1)CCNC2,289,False
O=C(Cc1ccc(Cl)c(Cl)c1)NCCN1CCc2ccccc2C1,aryl,molmim,O=C(Cc1ccc(Cl)c(Cl)c1)NCCN1CCc2ccccc2C1,"[('c1ccc2c(c1)CCNC2', 17250), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CCNC2,17250,False
